char,word
刮,skreip
制,si'ste@m
剁,
剎,
剃,s'eiv
削,plein
前,bi'fo`r
剌,e@pouzd
剋,vi'kteri:
則,ru:l
剖,di'vaid
剜,kat
剔,kati'ng
剛,sterdi:
剝,pi:l
剪,kli'p
副,e@si'ste@nt
割,pre@po`rs'e@n
剴,si't&
創,dz'e'ne@se@s
剩,le'ftouverz
剿,di'stroi
剷,le've@l
剽,t&re't
劃,di'vaid
劇,dra`me@
劈,breik
劉,pi:li'ng
劍,so`rd
劑,me'de@se@n
力,pauer
加,a'd
功,e@ts'i:vme@nt
劣,i'nfi'ri:o`ri'ti:
劫,t&re't
助,he'lp
努,toil
劬,bi'kam
劾,se'ns'er
勇,kere@dz'
勉,i'gzers'e@n
勃,sade@nne@s
勁,stro`ng
勒,ho`lter
務,ta'sk
勘,i'ntu:i's'e@n
動,mu:v
勞,t&a'ngk
勝,vi'kteri:
勛,me're@ts
募,re@kru:t
勦,di'stroi
勤,di'le@dz'e@ns
勢,fo`rsi'z
勵,straiv
勸,persweid
勻,i:kwe@l
勾,sloup
勿,na`t
包,ra'p
匆,ras'
匈,termoil
匍,kro`l
匐,kro`l
匏,go`rd
匕,spu:n
化,ts'eindz'
北,no`rt&
匙,spu:n
匝,gou
匡,kere'kt
匠,a`rte@ze@n
匣,ba`ks
匪,ne@geis'e@n
匯,werl
匱,ts'e'st
匹,i:kwe@l
匿,haid
區,wo`rd
匾,fla't
十,te'n
千,t&auze@nd
午,nu:n
升,me'z'eri'ng
卅,t&erdi:
仟,t&auze@nd
半,ha'f
卉,gra's
卒,gra'dz'e@we@t
協,koua`pereis'e@n
卓,e'me@ne@nt
卑,louli:
南,saut&
博,draiv
卜,de@vaini'ng
卞,lo`
卡,ka`rd
占,de@vaini'ng
卦,di've@neis'e@n
卯,i:st
卮,a'pt
印,sta'mp
危,deindz'ere@s
即,i'nste@nt
卵,e'g
卷,va`lyu:m
卸,houlseil
卹,si'mpe@t&i:
卻,i'nste'd
卿,yu:
厄,e@nlaki:
厚,t&i'k
原,me'dou
厝,kat
厥,d&a't
厭,bo`r
厲,we'tstoun
去,go`n
參,t&ri:
又,ferd&ermo`r
叉,kra`ts'
友,fre'nd
及,i'gzert
反,a'nti:
取,teik
叔,angke@l
受,a'kse'pt
叛,di'se@bei
叟,ould
曼,waid
叢,ple'kse@s
口,maut&
可,ka'n
古,ould
右,rait
召,si'du:s
叮,kerte@si:
叩,straik
叨,tru:li:
叼,
司,dere'kter
叵,ka'na`t
叫,s'aut
另,e@nad&er
只,ounli:
史,hi'steri:
叱,skould
台,pe'de@ste@l
句,freiz
叭,oupe@n
吉,dz'oi
吏,o`fe@ser
同,seim
吊,se@spe'nd
吐,spi't
吁,e'kskle@meis'e@n
吋,i'nts'
各,i:ts'
向,ya`nder
名,neim
合,fi't
吃,sta'mer
后,e'mpre's
吆,
吒,s'aut
吝,maizerli:
吭,t&rout
吞,swa`lou
吾,ai
否,ni'geit
呎,fu't
吧,e'mfa'ti'k
呆,di'sgaste@d
呃,be'lts'
吳,
呈,di'splei
呂,spain
君,mi'ster
吩,gi'v
告,re've@leis'e@n
吹,blou
吻,prouba`se@s
吸,sak
吮,sak
吵,a`rgyu:
吶,stater
吠,ba`rk
吼,ba`rk
呀,e'mpti:
吱,ts'erpi'ng
含,ke@ntein
吟,si'ngi'ng
味,fleiver
呵,skould
咖,ka`fi:
呸,
咕,mambe@l
咀,bait
呻,moun
呷,si'p
咄,skould
咒,spe'l
咆,ba`rk
呼,ko`l
咐,blou
呱,krai
呶,noizi:
和,ha`rme@ni:
咚,
呢,e'mfa'ti'k
周,serkamfre@ns
咋,s'aut
命,feit
咎,bleim
咬,bait
哀,pe@t&e'ti'k
咨,i'nve'ste@geit
哎,i'nterdz'e'ks'e@n
哉,hau
咸,o`l
咦,i'kspre's'e@n
咳,ka`f
哇,fo`ni'ng
哂,sni'r
咽,t&rout
咪,mi:ter
品,gu'dz
哄,ri:saund
哈,sku:l
咯,kwo`re@l
咫,s'o`rt
咱,as
咻,s'aut
哨,skaut
唐,ts'aine@
唁,i'kspre's
唷,
哼,ham
哥,bi'g
哲,fe@la`se@fi:
唆,te'mpt
哺,ners
唔,ri:di'ng
哩,mail
哭,wi:p
員,e'mploii:
唉,e@la's
哮,ro`r
哪,wi'ts'
哦,si'ng
唧,
商,se'li'ng
啪,
啦,faine@l
啄,pe'k
啞,dam
啡,mo`rfi:n
啃,
啊,pa`rte@ke@l
唱,ts'a'nt
啖,i:t
問,kwe'sts'e@n
啕,
唯,soue@li:
啤,bi'r
唸,groun
售,se'l
啜,sak
唬,
啣,hould
唳,krai
啻,i'nka`mpere@be@l
喀,va`me@t
喧,noizi:
啼,ba`rk
喊,krai
喝,ho`rs
喘,pa'nt
喂,i'nterdz'e'ks'e@n
喜,ri'dz'ois
喪,mi's
喔,di'skri'pti'v
喇,ts'a'ter
喋,to`k
喃,ts'a'ter
喳,
單,wan
喟,moun
唾,se@laive@
喲,a`
喚,ye'l
喻,
喬,hai
喱,
啾,krai
喉,t&rout
嗟,le@me'nt
嗨,
嗓,vois
嗦,
嗎,faine@l
嗜,laik
嗇,maizerli:
嗑,ri:prouts'
嗣,e'r
嗤,la'f
嗯,
嗚,wi:p
嗡,
嗅,sme'l
嗆,ts'ouk
嗥,
嗾,i'nste@geit
嘀,
嘛,wi:t
嘗,wans
嗽,ri'ns
嘔,va`me@t
嘆,sai
嘉,e@plo`d
嘍,used
嘎,ba'd
嗷,noizi:
嘖,skould
嘟,
嘈,noizi:
嘮,
嘻,ha'pi:
嘹,yu:zd
嘲,ri'de@kyu:l
嘿,bi:
嘴,bi:k
嘩,noizi:
