char,word
北,pei3
匙,s`i
匝,tsa1
匡,khuang1
匠,ts^iang4
匣,s^ia2
匪,fei3
匯,hui4
匱,kui4
匹,phi3
匿,ni4
區,"ts^hu""1"
匾,pian3
十,s`i2
千,ts^hian1
午,wu3
升,s`eng1
卅,sa4
仟,ts^hian1
半,pan4
卉,hui4
卒,tsu2
協,s^ie2
卓,ts`uo1
卑,pei1
南,nan2
博,po2
卜,po
卞,pian4
卡,kha3
占,ts`an4
卦,kua4
卯,mao3
卮,ts`i1
印,yin4
危,wei1
即,ts^i2
卵,luan3
卷,"ts^u""an3"
卸,s^ie4
卹,"s^u""4"
卻,"ts^hu""e4"
卿,ts^hing1
厄,e4
厚,hou4
原,"u""an2"
厝,tshuo4
厥,"ts^u""e2"
厭,yan4
厲,li4
去,"ts^hu""4"
參,tshan1
又,you4
叉,ts`ha1
友,you3
及,ts^i2
反,fan3
取,"ts^hu""3"
叔,s`u1
受,s`ou4
叛,phan4
叟,sou3
曼,man4
叢,tshong2
口,khou3
可,khe3
古,ku3
右,you4
召,ts`ao4
叮,ting1
叩,khou4
叨,tao1
叼,tiao1
司,si1
叵,pho3
叫,ts^iao4
另,ling4
只,ts`i3
史,s`i3
叱,ts`hi4
台,thai2
句,"ts^u""4"
叭,pa1
吉,ts^i2
吏,li4
同,thong2
吊,tiao4
吐,thu3
吁,"s^u""1"
吋,tshun4
各,ke4
向,s^iang4
名,ming2
合,he2
吃,ts`hi1
后,hou4
吆,yao1
吒,ts`a1
吝,lin4
吭,kheng1
吞,thun1
吾,wu2
否,fou3
呎,ts`hi3
吧,pa
呆,tai1
呃,e4
吳,wu2
呈,ts`heng2
呂,"lu""3"
君,"ts^u""n1"
吩,fen1
告,kao4
吹,ts`hui1
吻,wen3
吸,s^i1
吮,s`un3
吵,ts`hao3
吶,na4
吠,fei4
吼,hou3
呀,ya
吱,ts`i1
含,han2
吟,yin2
味,wei4
呵,he1
咖,kha1
呸,phei1
咕,ku1
咀,"ts^u""3"
呻,s`en1
呷,ka1
咄,tuo1
咒,ts`ou4
咆,phao2
呼,hu1
咐,fu4
呱,ku1
呶,nao2
和,he2
咚,tong1
呢,ne
周,ts`ou1
咋,tsa3
命,ming4
咎,ts^iu4
咬,yao3
哀,ai1
咨,tsi1
哎,ai1
哉,tsai1
咸,s^ian2
咦,yi2
咳,hai1
哇,wa
哂,s`en3
咽,yan4
咪,mi1
品,phin3
哄,hong1
哈,ha1
咯,ke1
咫,ts`i3
咱,tsan2
咻,s^iu1
哨,s`ao4
唐,thang2
唁,yan4
唷,yo1
哼,heng1
哥,ke1
哲,ts`e2
唆,suo1
哺,pu3
唔,wu2
哩,li1
哭,khu1
員,"u""an2"
唉,ai1
哮,s^iao1
哪,na3
哦,o2
唧,ts^i1
商,s`ang1
啪,pha1
啦,la
啄,ts`uo2
啞,ya3
啡,fei1
啃,khen3
啊,a
唱,ts`hang4
啖,tan4
問,wen4
啕,thao2
唯,wei2
啤,phi2
唸,nian4
售,s`ou4
啜,ts`huai4
唬,hu3
啣,s^ian2
唳,li4
啻,ts`hi4
喀,kha1
喧,"s^u""an1"
啼,thi2
喊,han3
喝,he1
喘,ts`huan3
喂,wei4
喜,s^i3
喪,sang4
喔,o1
喇,la3
喋,tie2
喃,nan2
喳,ts`a1
單,tan1
喟,khui4
唾,thuo4
喲,yo1
喚,huan4
喻,"u""4"
喬,ts^hiao2
喱,li2
啾,ts^iu1
喉,hou2
嗟,ts^ie1
嗨,hai1
嗓,sang3
嗦,suo
嗎,ma
嗜,s`i4
嗇,se4
嗑,khe1
嗣,si4
嗤,ts`hi1
嗯,n2
嗚,wu1
嗡,weng1
嗅,s^iu4
嗆,ts^hiang1
嗥,hao2
嗾,sou3
嘀,ti2
嘛,ma
嘗,ts`hang2
嗽,sou4
嘔,ou3
嘆,than4
嘉,ts^ia1
嘍,lou2
嘎,ka1
嗷,ao2
嘖,tse2
嘟,tu1
嘈,tshao2
嘮,lao2
嘻,s^i1
嘹,liao2
嘲,ts`hao2
嘿,hei1
嘴,tsui3
嘩,hua1
噓,"s^u""1"
噎,ye1
噗,phu1
噴,phen1
嘶,si1
嘯,s^iao4
嘰,ts^i1
噙,ts^hin2
噫,yi1
噹,tang1
噩,e4
噤,ts^in4
噸,tun1
噪,tsao4
器,ts^hi4
噥,nong2
噱,"ts^u""e2"
噯,ai1
噬,s`i4
噢,o1
嚎,hao2
嚀,ning2
嚐,ts`hang2
嚅,z`u2
嚇,s^ia4
嚏,thi4
嚕,lu3
嚮,s^iang4
嚥,yan4
嚨,long2
嚷,z`ang3
嚶,ying1
嚴,yan2
嚼,"ts^u""e2"
囁,nie4
囀,ts`uan4
囂,s^iao1
囈,yi4
囊,nang2
囉,luo1
囌,su1
囑,ts`u3
四,si4
囚,ts^hiu2
因,yin1
回,hui2
囪,tshong1
困,khun4
囤,tun4
固,ku4
圃,phu3
圈,"ts^hu""an1"
國,kuo2
圍,wei2
園,"u""an2"
圓,"u""an2"
