char,word
叩,xe@u2
叨,
叼,
司,ti1
叵,
叫,xieu2
另,lan~2
只,ts'i4
史,su-4
叱,su-t2
台,thai1
句,ke@u1
叭,bo^t2
吉,kat2
吏,lai6
同,dong3
吊,
吐,tho4
吁,hu1
吋,
各,kak2
向,hu-o^ng2
名,zan~1
合,ho^p6
吃,xe@t6
后,he@u6
吆,
吒,ts'a1
吝,le@n6
吭,
吞,
吾,ngo`1
否,bi5
呎,sets'2
吧,va3
呆,ngok2
呃,n~ats'2
吳,ngo1
呈,ts`in~3
呂,la5
君,kwe@n1
吩,fan3
告,
吹,sui1
吻,ve@n5
吸,kop6
吮,
吵,sao`4
吶,
吠,
吼,hong2
呀,n~a2
吱,ts'e1
含,ham3
吟,nge@m1
味,vi6
呵,ha1
咖,
呸,be@i6
咕,
咀,tho^4
呻,
呷,
咄,so`t2
咒,ts'u2
咆,bau3
呼,ho1
咐,fo`2
呱,o`a1
呶,nao`1
和,ho`a3
咚,zo`ng6
呢,nai3
周,ts'u1
咋,ts'a6
命,men~6
咎,
咬,rao`1
哀,ai1
咨,
哎,
哉,tai1
咸,
咦,
咳,kai1
哇,o`a3
哂,
咽,n~a^n3
咪,
品,fe@m4
哄,ho`ng6
哈,ho`p2
咯,xak6
咫,
咱,
咻,hiu1
哨,
唐,du-o^ng3
唁,ngo`n1
唷,zo`k2
哼,
哥,ka1
哲,ts`iet2
唆,
哺,fo1
唔,
哩,
哭,xo`k2
員,vien1
唉,hai5
哮,hao`1
哪,na2
哦,nga1
唧,
商,thu-o^ng1
啪,
啦,
啄,ts`ok2
啞,
啡,
啃,
啊,a3
唱,su-o^ng2
啖,
問,
啕,
唯,zo`i5
啤,
唸,nem2
售,
啜,suit2
唬,
啣,ham3
唳,
啻,
喀,
喧,huien1
啼,
喊,
喝,hat2
喘,suien5
喂,o`i4
喜,hi4
喪,tang1
喔,ok6
喇,lat6
喋,n~ip6
喃,nom1
喳,
單,do^n1
喟,vi6
唾,tho`a2
喲,
喚,ho`an2
喻,zu6
喬,
喱,
啾,
喉,he@u3
嗟,
嗨,
嗓,
嗦,
嗎,mu-a4
嗜,
嗇,
嗑,
嗣,tu-6
嗤,
嗯,
嗚,o1
嗡,o`ng2
嗅,
嗆,
嗥,
嗾,
嘀,
嘛,
嘗,
嗽,
嘔,
嘆,han1
嘉,
嘍,lau3
嘎,
嗷,ngao`1
嘖,
嘟,
嘈,tao`3
嘮,lao`1
嘻,hi1
嘹,reu1
嘲,ts`ao`3
嘿,
嘴,
嘩,
噓,ho^3
噎,e2
噗,
噴,fun2
嘶,te1
嘯,
嘰,
噙,ge@m3
噫,
噹,
噩,
噤,ga^m6
噸,
噪,thao`2
器,xi2
噥,nung5
噱,
噯,ai2
噬,fe'3
噢,
嚎,hao`3
嚀,
嚐,
嚅,n~e'o`1
嚇,
嚏,
嚕,rua4
嚮,
嚥,
嚨,lung3
嚷,
嚶,in~1
嚴,ngiem1
嚼,
囁,
囀,
囂,hiu1
囈,
囊,
囉,la1
囌,
囑,ts'uk2
四,tu-2
囚,tu3
因,n~e@n1
回,hoi3
